row,fold
276,train
277,train
278,test
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,train
287,train
288,test
289,train
290,train
291,train
292,train
293,train
294,train
295,train
296,test
297,train
298,train
299,test
300,train
301,train
302,train
303,train
304,train
305,train
306,train
307,train
308,train
309,test
310,train
311,test
312,train
313,train
314,train
315,train
316,test
317,train
318,train
319,test
320,test
321,train
322,train
323,train
324,train
325,train
326,test
327,train
328,train
329,train
330,train
331,test
332,test
333,train
334,train
335,train
336,train
337,train
338,train
339,test
340,train
341,train
342,train
343,train
344,test
345,train
346,train
347,train
348,train
349,train
350,train
351,train
352,train
353,train
354,train
355,test
356,train
357,test
358,train
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,train
368,test
369,train
370,train
371,train
372,train
373,train
374,train
375,train
376,train
377,test
378,test
379,train
380,train
381,train
382,test
383,train
384,train
385,train
386,train
387,train
388,train
389,test
390,train
391,train
392,test
393,train
394,train
395,train
396,test
397,train
398,train
399,train
400,train
401,train
402,test
403,train
404,test
405,train
406,train
407,train
408,train
409,train
410,train
411,train
412,train
413,test
414,train
415,test
416,train
417,train
418,train
419,train
420,train
421,train
422,test
423,train
424,test
425,train
426,train
427,test
428,train
429,train
430,train
431,train
432,train
433,train
434,train
435,train
436,train
437,train
438,train
439,train
440,test
441,train
442,test
443,train
444,train
445,train
446,train
447,train
448,train
449,train
450,test
451,train
452,train
453,train
454,train
455,test
456,test
457,train
458,train
459,test
460,train
461,train
462,train
463,train
464,train
465,train
466,train
467,train
468,train
469,train
470,train
471,train
472,train
473,train
474,train
475,train
476,test
477,train
478,train
479,train
480,test
481,train
482,test
483,train
484,test
485,train
486,train
487,train
488,train
489,test
490,train
491,test
492,test
493,train
494,train
495,train
496,train
497,test
498,train
499,train
500,train
501,test
502,test
503,train
504,train
505,test
506,train
507,train
508,train
509,train
510,train
511,train
512,test
513,train
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,train
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,train
541,train
542,train
543,train
544,test
545,train
546,train
547,train
548,train
549,train
550,test
551,train
552,train
553,train
554,test
555,train
556,test
557,test
558,train
559,test
560,test
561,test
562,test
563,train
564,test
565,train
566,train
567,train
568,train
569,train
570,test
571,train
572,train
573,train
574,test
575,train
576,train
577,train
578,test
579,train
580,train
581,train
582,test
583,train
584,train
585,test
586,train
587,train
588,train
589,train
590,train
591,train
592,train
593,train
594,test
595,test
596,train
597,train
598,train
599,train
600,train
601,test
602,test
603,train
604,test
605,train
606,train
607,test
608,train
609,train
610,train
611,train
612,train
613,train
614,train
615,train
616,train
617,train
618,test
619,test
620,test
621,train
622,train
623,train
624,train
625,train
626,train
627,train
628,test
629,train
630,train
631,train
632,train
633,train
634,train
635,train
636,train
637,train
638,train
639,train
640,train
641,train
642,train
643,train
644,test
645,test
646,train
647,test
648,train
649,test
650,train
651,train
652,train
653,train
654,train
655,train
656,train
657,test
658,test
659,test
660,test
661,train
662,train
663,train
664,train
665,test
666,train
667,train
668,train
669,train
670,train
671,train
672,train
673,train
674,train
675,train
676,train
677,train
678,train
679,train
680,train
681,train
682,test
683,train
684,train
685,train
686,test
687,train
688,train
689,test
690,test
691,train
692,train
693,train
694,test
695,train
696,train
697,train
698,train
699,train
700,train
701,train
702,train
703,train
704,train
705,train
706,train
707,test
708,test
709,train
710,train
711,train
712,test
713,train
714,test
715,test
716,train
717,train
718,train
719,train
720,train
721,train
722,train
723,train
724,train
725,train
726,train
727,train
728,train
729,train
730,train
731,test
732,test
733,test
734,train
735,train
736,train
737,train
738,train
739,train
740,train
741,test
742,test
743,train
744,train
745,train
746,train
747,test
748,train
749,train
750,train
751,train
752,train
753,train
754,train
755,train
756,test
757,train
758,train
759,train
760,test
761,train
762,train
763,train
764,train
765,test
766,train
767,test
768,test
769,test
770,test
771,train
772,train
773,train
774,train
775,train
776,train
777,train
778,train
779,train
780,train
781,train
782,train
783,train
784,train
785,test
786,train
787,test
788,train
789,train
790,train
791,train
792,train
793,train
794,train
795,train
796,train
797,train
798,train
799,train
800,train
801,train
802,train
803,train
804,train
805,train
806,test
807,train
808,train
809,train
810,train
811,train
812,train
813,train
814,test
815,train
816,train
817,test
818,train
819,train
820,test
821,test
822,train
823,train
824,train
825,test
826,test
827,train
828,test
829,test
830,train
831,train
832,train
833,test
834,train
835,train
836,test
837,train
838,train
839,train
840,train
841,test
842,train
843,train
844,train
845,train
846,train
847,train
848,train
849,test
850,train
851,train
852,test
853,train
854,train
855,train
856,train
857,train
858,train
859,train
860,test
861,train
862,train
863,train
864,train
865,train
866,test
867,train
868,train
869,test
870,train
871,train
872,train
873,train
874,train
875,train
876,train
877,train
878,train
879,test
880,train
881,train
882,train
883,train
884,test
885,train
886,train
887,train
888,train
889,train
890,train
891,train
892,train
893,train
894,train
895,train
896,test
897,test
898,train
899,train
900,train
901,train
902,train
903,train
904,train
905,train
906,train
907,train
908,train
909,train
910,train
911,train
912,train
913,train
914,train
915,train
916,train
917,train
918,train
919,test
920,test
921,train
922,train
923,train
924,train
925,train
926,train
927,train
928,train
929,train
930,train
931,train
932,train
933,test
934,train
935,train
936,test
937,train
938,train
939,train
940,train
941,train
942,train
943,train
944,train
945,train
946,train
947,test
948,train
949,train
950,train
951,train
952,train
953,train
954,train
955,test
956,train
957,train
958,train
959,train
960,train
961,train
962,train
963,train
964,train
965,train
966,train
967,train
968,train
969,train
970,train
971,train
972,train
973,train
974,train
975,test
976,train
977,train
978,train
979,train
980,train
981,train
982,test
983,train
984,train
985,train
986,train
987,train
988,test
989,train
990,train
991,train
992,train
993,test
994,train
995,train
996,test
997,test
998,train
999,test
1000,train
1001,train
1002,train
1003,train
1004,train
1005,train
1006,train
1007,train
1008,train
1009,train
1010,train
1011,train
1012,train
1013,train
1014,train
1015,train
1016,train
1017,train
1018,test
1019,train
1020,test
1021,train
1022,train
1023,train
1024,train
1025,train
1026,train
1027,test
1028,train
1029,train
1030,train
1031,train
1032,train
1033,train
1034,train
1035,train
1036,train
1037,train
1038,train
1039,train
1040,train
1041,train
1042,train
1043,test
1044,train
1045,train
1046,train
1047,test
1048,train
1049,train
1050,train
1051,test
1052,train
1053,train
1054,train
1055,train
1056,train
1057,test
1058,train
1059,test
1060,train
1061,train
1062,train
1063,train
1064,test
1065,test
1066,train
1067,train
1068,train
1069,train
1070,train
1071,train
1072,train
1073,train
1074,train
1075,train
1076,test
1077,train
1078,train
1079,train
1080,train
1081,train
1082,train
1083,train
1084,train
1085,train
1086,train
1087,train
1088,train
1089,train
1090,test
1091,train
1092,train
1093,train
1094,train
1095,train
1096,train
1097,train
1098,test
1099,train
1100,test
1101,train
1102,train
1103,train
1104,train
1105,train
1106,train
1107,train
1108,train
1109,train
1110,train
1111,train
1112,train
1113,train
1114,test
1115,test
1116,train
1117,test
1118,train
1119,test
1120,train
1121,train
1122,train
1123,train
1124,train
1125,train
1126,train
1127,train
1128,train
1129,test
1130,train
1131,train
1132,train
1133,test
1134,train
1135,train
1136,train
1137,train
1138,train
1139,test
1140,test
1141,train
1142,test
1143,train
1144,test
1145,train
1146,train
1147,train
1148,train
1149,test
1150,train
1151,train
1152,test
1153,train
1154,train
1155,train
1156,train
1157,train
1158,train
1159,test
1160,test
1161,train
1162,train
1163,test
1164,train
1165,train
1166,train
1167,train
1168,train
1169,test
1170,train
1171,train
1172,test
1173,train
1174,train
1175,train
1176,train
1177,train
1178,train
1179,train
1180,train
1181,train
1182,test
1183,train
1184,train
1185,test
1186,train
1187,train
1188,train
1189,train
1190,train
1191,train
1192,train
1193,test
1194,train
1195,train
1196,train
1197,train
1198,train
1199,train
1200,test
1201,train
1202,test
1203,train
1204,train
1205,train
1206,train
1207,train
1208,train
1209,test
1210,train
1211,test
1212,test
1213,test
1214,test
1215,train
1216,test
1217,train
1218,train
1219,train
1220,test
1221,train
1222,train
1223,train
1224,test
1225,test
1226,train
1227,train
1228,train
1229,train
1230,train
1231,train
1232,train
1233,train
1234,train
1235,train
1236,train
1237,train
1238,train
1239,train
1240,train
1241,train
1242,train
1243,train
1244,train
1245,train
1246,train
1247,train
1248,train
1249,train
1250,test
1251,test
1252,test
1253,train
1254,train
1255,train
1256,test
1257,test
1258,train
1259,train
1260,train
1261,test
1262,train
1263,test
1264,train
1265,train
1266,test
1267,train
1268,train
1269,train
1270,test
1271,train
1272,train
1273,test
1274,train
1275,train
1276,train
1277,train
1278,train
1279,train
1280,train
1281,train
1282,train
1283,train
1284,train
1285,train
1286,train
1287,test
1288,test
1289,train
1290,train
1291,test
1292,train
1293,train
1294,train
1295,train
1296,test
1297,test
1298,train
1299,train
1300,train
1301,train
1302,train
1303,train
1304,train
1305,train
1306,train
1307,train
1308,train
1309,test
1310,test
1311,train
1312,train
1313,train
1314,train
1315,train
1316,train
1317,train
1318,train
1319,train
1320,train
1321,test
1322,train
1323,test
1324,test
1325,train
1326,train
1327,train
1328,train
1329,test
1330,test
1331,train
1332,train
1333,test
1334,train
1335,test
1336,train
1337,train
1338,train
1339,train
1340,train
1341,train
1342,train
1343,test
1344,train
1345,train
1346,train
1347,train
1348,train
1349,train
1350,test
1351,test
1352,train
1353,test
1354,train
1355,train
1356,train
1357,train
1358,test
1359,test
1360,test
1361,test
1362,train
1363,train
1364,train
1365,train
1366,train
1367,train
1368,train
1369,train
1370,test
1371,test
1372,train
1373,train
1374,train
1375,test
1376,train
1377,test
1378,train
1379,train
1380,train
1381,train
1382,train
1383,train
1384,train
1385,test
1386,train
1387,train
1388,train
1389,train
1390,train
1391,train
1392,train
1393,test
1394,test
1395,train
1396,test
1397,train
1398,test
1399,test
1400,train
1401,train
1402,train
1403,test
1404,test
1405,train
1406,train
1407,train
1408,train
1409,train
1410,train
1411,train
1412,train
1413,test
1414,test
1415,train
1416,train
1417,train
1418,test
1419,train
1420,train
1421,train
1422,train
1423,train
1424,train
1425,train
1426,train
1427,train
1428,train
1429,train
1430,train
1431,train
1432,train
1433,train
1434,train
1435,test
1436,train
1437,train
1438,train
1439,train
1440,train
1441,train
1442,test
1443,train
1444,train
1445,test
1446,train
1447,train
1448,train
1449,train
1450,train
1451,test
1452,train
1453,test
1454,train
1455,test
1456,train
1457,test
1458,test
1459,train
1460,train
1461,train
1462,test
1463,train
1464,train
1465,train
1466,train
1467,train
1468,test
1469,train
1470,train
1471,train
1472,test
1473,train
1474,train
1475,train
1476,test
1477,train
1478,train
1479,test
1480,train
1481,train
1482,train
1483,test
1484,train
1485,train
1486,train
1487,train
1488,test
1489,train
1490,train
1491,test
1492,train
1493,train
1494,test
1495,train
1496,test
1497,train
1498,test
1499,train
1500,train
1501,train
1502,train
1503,train
1504,train
1505,test
1506,train
1507,train
1508,train
1509,train
1510,train
1511,train
1512,train
1513,train
1514,train
1515,train
1516,train
1517,train
1518,train
1519,test
1520,train
1521,train
1522,train
1523,train
1524,train
1525,test
1526,train
1527,train
1528,train
1529,train
1530,train
1531,test
1532,train
1533,train
1534,train
1535,train
1536,test
1537,train
1538,test
1539,train
1540,train
1541,train
1542,train
1543,test
1544,train
1545,train
1546,train
1547,train
1548,train
1549,train
1550,test
1551,train
1552,train
1553,train
1554,train
1555,train
1556,train
1557,test
1558,test
1559,test
1560,train
1561,train
1562,test
1563,train
1564,train
1565,train
1566,train
1567,train
1568,test
1569,train
1570,train
1571,train
1572,train
1573,train
1574,train
1575,train
1576,train
1577,train
1578,train
1579,train
1580,train
1581,train
1582,train
1583,test
1584,test
1585,train
1586,train
1587,train
1588,train
1589,train
1590,train
1591,train
1592,train
1593,train
1594,train
1595,train
1596,test
1597,train
1598,train
1599,train
1600,train
1601,train
1602,train
1603,train
1604,train
1605,train
1606,train
1607,test
1608,test
1609,test
1610,train
1611,train
1612,train
1613,test
1614,train
1615,train
1616,train
1617,train
1618,train
1619,train
1620,train
1621,test
1622,train
1623,train
1624,train
1625,train
1626,train
1627,train
1628,train
1629,train
1630,test
1631,train
1632,train
1633,train
1634,train
1635,train
1636,train
1637,train
1638,train
1639,test
1640,train
1641,train
1642,test
1643,test
1644,train
1645,train
1646,train
1647,train
1648,train
1649,train
1650,train
1651,train
1652,test
1653,test
1654,test
1655,train
1656,test
1657,train
1658,train
1659,train
1660,train
1661,train
1662,train
1663,train
1664,train
1665,train
1666,train
1667,train
1668,train
1669,train
1670,test
1671,train
1672,train
1673,train
1674,test
1675,train
1676,train
1677,train
1678,test
1679,train
1680,train
1681,test
1682,train
1683,train
1684,train
1685,test
1686,train
1687,train
1688,train
1689,train
1690,train
1691,train
1692,test
1693,test
1694,train
1695,train
1696,train
1697,test
1698,train
1699,train
1700,train
1701,train
1702,test
1703,train
1704,train
1705,test
1706,train
1707,train
1708,train
1709,train
1710,train
1711,train
1712,train
1713,test
1714,test
1715,train
1716,train
1717,train
1718,train
1719,train
1720,train
1721,train
1722,train
1723,train
1724,train
1725,train
1726,train
1727,test
1728,train
1729,train
1730,train
1731,train
1732,train
1733,train
1734,test
1735,test
1736,train
1737,train
1738,train
1739,train
1740,train
1741,test
1742,test
1743,test
1744,train
1745,train
1746,train
1747,train
1748,train
1749,train
1750,train
1751,test
1752,train
1753,test
1754,test
1755,train
1756,train
1757,train
1758,test
1759,train
1760,train
1761,train
1762,train
1763,train
1764,train
1765,train
1766,train
1767,train
1768,test
1769,train
1770,test
1771,test
1772,train
1773,train
1774,test
1775,train
1776,train
1777,test
1778,test
1779,test
1780,train
1781,train
1782,train
1783,train
1784,test
1785,test
1786,train
1787,train
1788,test
1789,train
1790,train
1791,train
1792,train
1793,test
1794,test
1795,train
1796,train
1797,train
1798,test
1799,test
1800,test
1801,train
1802,train
1803,train
1804,train
1805,train
1806,train
1807,train
1808,train
1809,train
1810,train
1811,train
1812,train
1813,train
1814,train
1815,train
1816,train
1817,train
1818,train
1819,train
1820,train
1821,train
1822,train
1823,train
1824,train
1825,train
1826,test
1827,train
1828,train
1829,test
1830,train
1831,train
1832,train
1833,train
1834,train
1835,train
1836,train
1837,train
1838,test
1839,train
1840,train
1841,train
1842,train
1843,train
1844,train
1845,train
1846,train
1847,train
1848,train
1849,train
1850,test
1851,train
1852,train
1853,train
1854,test
1855,train
1856,train
1857,train
1858,test
1859,train
1860,train
1861,train
1862,train
1863,train
1864,test
1865,train
1866,train
1867,test
1868,train
1869,train
1870,train
1871,test
1872,train
1873,train
1874,train
1875,train
1876,train
1877,train
1878,train
1879,test
1880,train
1881,train
1882,train
1883,train
1884,train
1885,train
1886,test
1887,train
1888,train
1889,test
1890,test
1891,test
1892,train
1893,train
1894,train
1895,train
1896,train
1897,train
1898,test
1899,train
1900,train
1901,train
1902,train
1903,train
1904,test
1905,train
1906,train
1907,train
1908,train
1909,train
1910,train
1911,train
1912,train
1913,test
1914,train
1915,train
1916,train
1917,train
1918,train
1919,train
1920,train
1921,train
1922,train
1923,train
1924,train
1925,train
1926,train
1927,test
1928,train
1929,train
1930,train
1931,train
1932,train
1933,train
1934,train
1935,train
1936,train
1937,train
1938,train
1939,train
1940,test
1941,train
1942,train
1943,train
1944,train
1945,train
1946,train
1947,train
1948,train
1949,train
1950,train
1951,test
1952,train
1953,train
1954,test
1955,test
1956,train
1957,train
1958,train
1959,train
1960,train
1961,train
1962,train
1963,test
1964,train
1965,train
1966,train
1967,test
1968,train
1969,train
1970,test
1971,train
1972,train
1973,train
1974,test
1975,train
1976,train
1977,train
1978,test
1979,train
1980,train
1981,train
1982,train
1983,test
1984,train
1985,train
1986,train
1987,train
1988,train
1989,train
1990,train
1991,train
1992,train
1993,train
1994,train
1995,train
1996,train
1997,train
1998,train
1999,train
2000,train
2001,train
2002,train
2003,test
2004,test
2005,test
2006,train
2007,train
2008,test
2009,test
2010,train
2011,test
2012,train
2013,train
2014,train
2015,train
2016,train
2017,train
2018,train
2019,train
2020,test
2021,train
2022,train
2023,train
2024,test
2025,train
2026,train
2027,train
2028,train
2029,train
2030,train
2031,train
2032,test
2033,train
2034,train
2035,train
2036,train
2037,train
2038,test
2039,test
2040,train
2041,train
2042,train
2043,test
2044,train
2045,train
2046,train
2047,train
2048,train
2049,test
2050,train
2051,test
2052,train
2053,train
2054,train
2055,train
2056,test
2057,train
2058,train
2059,train
2060,test
2061,test
2062,train
2063,train
2064,train
2065,train
2066,train
2067,train
2068,train
2069,train
2070,train
2071,train
2072,train
2073,train
2074,train
2075,test
2076,train
2077,test
2078,train
2079,train
2080,train
2081,test
2082,train
2083,test
2084,train
2085,train
2086,train
2087,test
2088,train
2089,train
2090,test
2091,train
2092,train
2093,test
2094,train
2095,train
2096,train
2097,train
2098,train
2099,train
2100,train
2101,test
2102,train
2103,train
2104,train
2105,train
2106,train
2107,test
2108,test
2109,test
2110,train
2111,test
2112,train
2113,test
2114,test
2115,train
2116,test
2117,train
2118,train
2119,test
2120,train
2121,train
2122,train
2123,test
2124,test
2125,train
2126,train
2127,train
2128,train
2129,train
2130,train
2131,train
2132,train
2133,train
2134,test
2135,train
2136,train
2137,test
2138,test
2139,train
2140,train
2141,test
2142,train
2143,test
2144,train
2145,train
2146,train
2147,train
2148,train
2149,test
2150,train
2151,train
2152,train
2153,train
2154,train
2155,train
2156,train
2157,train
2158,train
2159,train
2160,train
2161,train
2162,test
2163,train
2164,train
2165,train
2166,train
2167,train
2168,test
2169,train
2170,train
2171,train
2172,train
2173,train
2174,train
2175,train
2176,train
2177,train
2178,train
2179,train
2180,train
2181,train
2182,train
2183,train
2184,train
2185,train
2186,train
2187,train
2188,test
2189,train
2190,train
2191,train
2192,test
2193,test
2194,train
2195,train
2196,train
2197,train
2198,train
2199,train
2200,train
2201,train
2202,train
2203,test
2204,train
2205,test
2206,train
2207,train
2208,train
2209,test
2210,train
2211,train
2212,test
2213,test
2214,train
2215,train
2216,train
2217,train
2218,test
2219,test
2220,train
2221,train
2222,train
2223,test
2224,train
2225,test
2226,train
2227,train
2228,train
2229,test
2230,train
2231,train
2232,train
2233,train
2234,train
2235,train
2236,train
2237,test
2238,train
2239,train
2240,test
2241,test
2242,train
2243,train
2244,train
2245,train
2246,train
2247,test
2248,test
2249,train
2250,train
2251,train
2252,train
2253,train
2254,test
2255,test
2256,train
2257,train
2258,train
2259,train
2260,train
2261,train
2262,train
2263,train
2264,train
2265,train
2266,train
2267,test
2268,train
2269,train
2270,train
2271,train
2272,train
2273,train
2274,train
2275,train
2276,train
2277,train
2278,train
2279,train
2280,train
2281,train
2282,train
2283,test
2284,train
2285,train
2286,train
2287,train
2288,train
2289,train
2290,train
2291,train
2292,test
2293,train
2294,train
2295,test
2296,train
2297,train
2298,test
2299,train
2300,train
2301,train
2302,train
2303,train
2304,train
2305,test
2306,train
2307,test
2308,test
2309,train
2310,train
2311,train
2312,test
2313,train
2314,train
2315,train
2316,train
2317,train
2318,train
2319,train
2320,train
2321,train
2322,train
2323,train
2324,train
2325,train
2326,train
2327,train
2328,train
2329,train
2330,train
2331,train
2332,train
2333,train
2334,test
2335,train
2336,train
2337,train
2338,test
2339,train
2340,test
2341,train
2342,train
2343,train
2344,train
2345,train
2346,test
2347,test
2348,test
2349,train
2350,train
2351,train
2352,train
2353,train
2354,train
2355,train
2356,test
2357,test
2358,train
2359,train
2360,train
2361,train
2362,train
2363,test
2364,train
2365,train
2366,test
2367,train
2368,train
2369,train
2370,train
2371,train
2372,test
2373,train
2374,test
2375,train
2376,train
2377,train
2378,test
2379,train
2380,train
2381,test
2382,train
2383,train
2384,train
2385,train
2386,train
2387,test
2388,train
2389,test
2390,test
2391,test
2392,train
2393,train
2394,test
2395,test
2396,train
2397,train
2398,test
2399,test
2400,train
2401,train
2402,train
2403,test
2404,test
2405,train
2406,train
2407,train
2408,train
2409,train
2410,train
2411,train
2412,train
2413,train
2414,train
2415,train
2416,train
2417,train
2418,train
2419,train
2420,train
2421,train
2422,test
2423,train
2424,train
2425,train
2426,train
2427,train
2428,train
2429,train
2430,train
2431,test
2432,test
2433,train
2434,train
2435,train
2436,train
2437,train
2438,test
2439,train
2440,train
2441,train
2442,train
2443,train
2444,train
2445,train
2446,train
2447,train
2448,train
2449,train
2450,train
2451,train
2452,train
2453,train
2454,train
2455,train
2456,train
2457,train
2458,train
2459,train
2460,train
2461,train
2462,test
2463,train
2464,train
2465,train
2466,train
2467,test
2468,train
2469,test
2470,train
2471,train
2472,test
2473,train
2474,test
2475,train
2476,train
2477,train
2478,test
2479,test
2480,test
2481,train
2482,train
2483,train
2484,train
2485,test
2486,train
2487,train
2488,train
2489,test
2490,test
2491,train
2492,train
2493,train
2494,test
2495,train
2496,train
2497,train
2498,train
2499,train
2500,train
2501,test
2502,train
2503,train
2504,test
2505,train
2506,train
2507,train
2508,train
2509,train
2510,train
2511,train
2512,test
2513,train
2514,train
2515,train
2516,train
2517,train
2518,test
2519,train
2520,test
2521,train
2522,train
2523,test
2524,train
2525,train
2526,train
2527,train
2528,train
2529,train
2530,train
2531,train
2532,train
2533,test
2534,train
2535,test
2536,test
2537,train
2538,train
2539,train
2540,train
2541,train
2542,train
2543,train
2544,train
2545,train
2546,test
2547,train
2548,train
2549,test
2550,train
2551,train
2552,train
2553,train
2554,train
2555,train
2556,train
2557,train
2558,train
2559,train
2560,train
2561,train
2562,train
2563,test
2564,train
2565,train
2566,train
2567,train
2568,train
2569,train
2570,test
2571,train
2572,train
2573,train
2574,train
2575,train
2576,test
2577,train
2578,train
2579,train
2580,train
2581,train
2582,train
2583,train
2584,train
2585,train
2586,train
2587,train
2588,train
2589,train
2590,train
2591,train
2592,train
2593,train
2594,train
2595,train
2596,train
2597,train
2598,test
2599,train
2600,train
2601,test
2602,train
2603,train
2604,train
2605,train
2606,train
2607,train
2608,train
2609,train
2610,train
2611,train
2612,train
2613,train
2614,train
2615,train
2616,test
2617,train
2618,train
2619,train
2620,train
2621,train
2622,train
2623,train
2624,train
2625,train
2626,train
2627,train
2628,train
2629,train
2630,test
2631,train
2632,train
2633,test
2634,train
2635,train
2636,test
2637,train
2638,train
2639,test
2640,train
2641,train
2642,test
2643,train
2644,test
2645,train
2646,train
2647,train
2648,train
2649,train
2650,train
2651,test
2652,test
2653,train
2654,train
2655,train
2656,train
2657,train
2658,train
2659,train
2660,train
2661,train
2662,train
2663,train
2664,train
2665,train
2666,train
2667,train
2668,train
2669,train
2670,train
2671,train
2672,train
2673,train
2674,test
2675,train
2676,test
2677,train
2678,train
2679,test
2680,train
2681,train
2682,train
2683,test
2684,train
2685,train
2686,test
2687,train
2688,train
2689,train
2690,train
2691,test
2692,train
2693,train
2694,train
2695,train
2696,train
2697,train
2698,train
2699,train
2700,train
2701,train
2702,train
2703,train
2704,train
2705,test
2706,train
2707,test
2708,train
2709,train
2710,train
2711,train
2712,train
2713,train
2714,train
2715,train
2716,train
2717,train
2718,train
2719,test
2720,train
2721,train
2722,train
2723,train
2724,train
2725,train
2726,test
2727,train
2728,train
2729,test
2730,train
2731,train
2732,train
2733,test
2734,test
2735,train
2736,train
2737,test
2738,test
2739,test
2740,test
2741,test
2742,train
2743,train
2744,train
2745,train
2746,train
2747,train
2748,train
2749,train
2750,test
2751,train
2752,train
2753,train
2754,train
2755,train
2756,train
2757,train
2758,train
2759,train
2760,train
2761,train
2762,train
2763,train
2764,test
2765,train
2766,train
2767,train
2768,train
2769,train
2770,test
2771,train
2772,train
2773,train
2774,test
2775,train
2776,train
2777,train
2778,train
2779,train
2780,train
2781,train
2782,train
2783,train
2784,train
2785,train
2786,train
2787,train
2788,train
2789,test
2790,train
2791,train
2792,train
2793,train
2794,train
2795,train
2796,train
2797,train
2798,train
2799,train
2800,train
2801,train
2802,train
2803,test
2804,train
2805,train
2806,test
2807,train
2808,train
2809,train
2810,test
2811,train
2812,train
2813,train
2814,train
2815,train
2816,train
2817,train
2818,test
2819,test
2820,train
2821,test
2822,train
2823,train
2824,train
2825,train
2826,test
2827,train
2828,train
2829,train
2830,train
2831,train
2832,train
2833,train
2834,test
2835,train
2836,train
2837,test
2838,test
2839,train
2840,train
2841,train
2842,test
2843,train
2844,train
2845,train
2846,train
2847,train
2848,train
2849,train
2850,train
2851,train
2852,train
2853,train
2854,train
2855,train
2856,train
2857,train
2858,test
2859,test
2860,train
2861,train
2862,train
2863,train
2864,test
2865,train
2866,train
2867,train
2868,train
2869,test
2870,train
2871,test
2872,train
2873,train
2874,train
2875,train
2876,train
2877,test
2878,train
2879,train
2880,train
2881,train
2882,train
2883,train
2884,test
2885,train
2886,train
2887,train
2888,train
2889,train
2890,train
2891,train
2892,train
2893,test
2894,train
2895,train
2896,test
2897,train
2898,train
2899,test
2900,test
2901,test
2902,test
2903,train
2904,train
2905,test
2906,train
2907,train
2908,train
2909,train
2910,train
2911,train
2912,train
2913,train
2914,test
2915,train
2916,train
2917,train
2918,train
2919,train
2920,train
2921,test
2922,train
2923,train
2924,train
2925,train
2926,train
2927,test
2928,train
2929,train
2930,train
2931,train
2932,test
2933,train
2934,train
2935,test
2936,train
2937,test
2938,train
2939,train
2940,train
2941,train
2942,train
2943,train
2944,train
2945,train
2946,train
2947,train
2948,train
2949,train
2950,test
2951,train
2952,train
2953,test
2954,train
2955,test
2956,train
2957,train
2958,train
2959,test
2960,train
2961,train
2962,train
2963,train
2964,train
2965,train
2966,test
2967,train
2968,train
2969,train
2970,train
2971,train
2972,train
2973,train
2974,train
2975,train
2976,train
2977,train
2978,train
2979,train
2980,test
2981,train
2982,test
2983,test
2984,train
2985,train
2986,train
2987,train
2988,train
2989,train
2990,train
2991,train
2992,test
2993,train
2994,train
2995,train
2996,train
2997,train
