"row","fold"
454,"train"
455,"test"
456,"train"
457,"test"
458,"train"
459,"train"
460,"train"
461,"test"
462,"train"
463,"train"
464,"train"
465,"train"
466,"train"
467,"train"
468,"train"
469,"train"
470,"train"
471,"train"
472,"train"
473,"train"
474,"train"
475,"train"
476,"train"
477,"train"
478,"test"
479,"train"
480,"test"
481,"test"
482,"train"
483,"train"
484,"train"
485,"train"
486,"train"
487,"train"
488,"test"
489,"train"
490,"test"
491,"train"
492,"train"
493,"test"
494,"test"
495,"train"
496,"train"
497,"train"
498,"test"
499,"test"
500,"train"
501,"train"
502,"train"
503,"train"
504,"train"
505,"train"
506,"train"
507,"test"
508,"train"
509,"train"
510,"test"
511,"train"
512,"train"
513,"train"
514,"test"
515,"train"
516,"train"
517,"train"
518,"train"
519,"train"
520,"train"
521,"test"
522,"train"
523,"train"
524,"test"
525,"train"
526,"test"
527,"test"
528,"test"
529,"train"
530,"test"
531,"train"
532,"train"
533,"train"
534,"train"
535,"train"
536,"train"
537,"train"
538,"train"
539,"train"
540,"train"
541,"train"
542,"train"
543,"test"
544,"train"
545,"train"
546,"train"
547,"train"
548,"train"
549,"train"
550,"train"
551,"test"
552,"train"
553,"train"
554,"test"
555,"train"
556,"train"
557,"train"
558,"train"
559,"train"
560,"train"
561,"train"
562,"train"
563,"train"
564,"test"
565,"train"
566,"train"
567,"train"
568,"train"
569,"test"
570,"test"
571,"test"
572,"train"
573,"train"
574,"train"
575,"train"
576,"train"
577,"train"
578,"train"
579,"train"
580,"train"
581,"test"
582,"train"
583,"train"
584,"test"
585,"test"
586,"train"
587,"train"
588,"test"
589,"train"
590,"train"
591,"train"
592,"test"
593,"train"
594,"train"
595,"train"
596,"train"
597,"train"
598,"test"
599,"train"
600,"train"
601,"train"
602,"train"
603,"train"
604,"train"
605,"train"
606,"train"
607,"train"
608,"train"
609,"train"
610,"train"
611,"train"
612,"train"
613,"train"
614,"train"
615,"train"
616,"train"
617,"test"
618,"train"
619,"test"
620,"test"
621,"train"
622,"train"
623,"test"
624,"train"
625,"test"
626,"train"
627,"train"
628,"train"
629,"test"
630,"train"
631,"train"
632,"train"
633,"train"
634,"train"
635,"train"
636,"train"
637,"train"
638,"train"
639,"train"
640,"train"
641,"train"
642,"train"
643,"test"
644,"train"
645,"train"
646,"train"
647,"train"
648,"test"
649,"test"
650,"train"
651,"train"
652,"train"
653,"train"
654,"test"
655,"test"
656,"test"
657,"train"
658,"train"
659,"train"
660,"train"
661,"train"
662,"train"
663,"test"
664,"train"
665,"test"
666,"train"
667,"train"
668,"train"
669,"train"
670,"test"
671,"test"
672,"train"
673,"train"
674,"train"
675,"train"
676,"train"
677,"train"
678,"train"
679,"train"
680,"train"
681,"train"
682,"train"
683,"train"
684,"train"
685,"train"
686,"train"
687,"train"
688,"test"
689,"train"
690,"train"
691,"test"
692,"train"
693,"train"
694,"test"
695,"train"
696,"train"
697,"train"
698,"train"
699,"train"
700,"train"
701,"test"
702,"train"
703,"test"
704,"train"
705,"test"
706,"train"
707,"test"
708,"train"
709,"train"
710,"train"
711,"test"
712,"train"
713,"train"
714,"train"
715,"train"
716,"train"
717,"train"
718,"train"
719,"train"
720,"train"
721,"train"
722,"train"
723,"train"
724,"train"
725,"test"
726,"train"
727,"train"
728,"test"
729,"train"
730,"train"
731,"train"
732,"train"
733,"train"
734,"train"
735,"train"
736,"train"
737,"train"
738,"train"
739,"train"
740,"train"
741,"train"
742,"train"
743,"test"
744,"train"
745,"train"
746,"train"
747,"train"
748,"train"
749,"test"
750,"train"
751,"train"
752,"train"
753,"train"
754,"train"
755,"train"
756,"train"
757,"train"
758,"train"
759,"train"
760,"train"
761,"test"
762,"train"
763,"train"
764,"test"
765,"train"
766,"test"
767,"train"
768,"train"
769,"train"
770,"train"
771,"test"
772,"train"
773,"train"
774,"test"
775,"train"
776,"test"
777,"train"
778,"train"
779,"train"
780,"train"
781,"train"
782,"train"
783,"test"
784,"train"
785,"train"
786,"train"
787,"train"
788,"train"
789,"test"
790,"train"
791,"train"
792,"train"
793,"train"
794,"train"
795,"train"
796,"test"
797,"train"
798,"train"
799,"test"
800,"train"
801,"train"
802,"train"
803,"train"
804,"train"
805,"train"
806,"train"
807,"train"
808,"test"
809,"test"
810,"train"
811,"train"
812,"train"
813,"train"
814,"train"
815,"test"
816,"train"
817,"train"
818,"train"
819,"train"
820,"train"
821,"train"
822,"train"
823,"train"
824,"train"
825,"train"
826,"train"
827,"train"
828,"test"
829,"test"
830,"train"
831,"train"
832,"test"
833,"test"
834,"train"
835,"train"
836,"test"
837,"test"
838,"train"
839,"test"
840,"test"
841,"train"
842,"train"
843,"train"
844,"train"
845,"train"
846,"test"
847,"train"
848,"test"
849,"train"
850,"train"
851,"train"
852,"train"
853,"train"
854,"train"
855,"test"
856,"train"
857,"train"
858,"train"
859,"test"
860,"test"
861,"test"
862,"train"
863,"train"
864,"train"
865,"train"
866,"train"
867,"train"
868,"train"
869,"test"
870,"train"
871,"train"
872,"train"
873,"test"
874,"train"
875,"train"
876,"test"
877,"train"
878,"test"
879,"train"
880,"train"
881,"test"
882,"test"
883,"train"
884,"train"
885,"train"
886,"train"
887,"test"
888,"train"
889,"test"
890,"test"
891,"train"
892,"train"
893,"train"
894,"train"
895,"test"
896,"train"
897,"train"
898,"train"
899,"train"
900,"train"
901,"test"
902,"train"
903,"train"
904,"train"
905,"train"
906,"test"
907,"train"
908,"train"
909,"train"
910,"train"
911,"train"
912,"train"
913,"test"
914,"train"
915,"train"
916,"train"
917,"test"
918,"train"
919,"test"
920,"train"
921,"train"
922,"test"
923,"train"
924,"train"
925,"train"
926,"train"
927,"train"
928,"train"
929,"train"
930,"train"
931,"train"
932,"train"
933,"train"
934,"test"
935,"train"
936,"train"
937,"train"
938,"train"
939,"train"
940,"train"
941,"train"
942,"train"
943,"train"
944,"train"
945,"train"
946,"train"
947,"train"
948,"train"
949,"train"
950,"train"
951,"train"
952,"train"
953,"train"
954,"test"
955,"train"
956,"train"
957,"train"
958,"train"
959,"train"
960,"train"
961,"train"
962,"train"
963,"train"
964,"train"
965,"train"
966,"train"
967,"train"
968,"train"
969,"train"
970,"train"
971,"train"
972,"train"
973,"test"
974,"train"
975,"test"
976,"train"
977,"train"
978,"train"
979,"train"
980,"train"
981,"test"
982,"train"
983,"train"
984,"test"
985,"train"
986,"train"
987,"train"
988,"train"
989,"train"
990,"train"
991,"train"
992,"train"
993,"train"
994,"test"
995,"test"
996,"test"
997,"train"
998,"train"
999,"train"
1000,"train"
1001,"train"
1002,"test"
1003,"train"
1004,"train"
1005,"train"
1006,"train"
1007,"train"
1008,"train"
1009,"train"
1010,"test"
1011,"train"
1012,"train"
1013,"train"
1014,"test"
1015,"train"
1016,"test"
1017,"train"
1018,"train"
1019,"train"
1020,"train"
1021,"train"
1022,"train"
1023,"train"
1024,"test"
1025,"test"
1026,"train"
1027,"train"
1028,"train"
1029,"train"
1030,"train"
1031,"train"
1032,"test"
1033,"test"
1034,"train"
1035,"train"
1036,"test"
1037,"train"
1038,"train"
1039,"train"
1040,"test"
1041,"train"
1042,"train"
1043,"train"
1044,"test"
1045,"train"
1046,"train"
1047,"train"
1048,"test"
1049,"test"
1050,"train"
1051,"train"
1052,"train"
1053,"train"
1054,"train"
1055,"test"
1056,"train"
1057,"test"
1058,"test"
1059,"train"
1060,"train"
1061,"train"
1062,"train"
1063,"test"
1064,"test"
1065,"train"
1066,"train"
1067,"test"
1068,"train"
1069,"train"
1070,"train"
1071,"train"
1072,"train"
1073,"train"
1074,"test"
1075,"test"
1076,"train"
1077,"train"
1078,"train"
1079,"train"
1080,"test"
1081,"test"
1082,"train"
1083,"train"
1084,"train"
1085,"train"
1086,"train"
1087,"train"
1088,"test"
1089,"train"
1090,"train"
1091,"train"
1092,"train"
1093,"train"
1094,"train"
1095,"train"
1096,"train"
1097,"train"
1098,"test"
1099,"train"
1100,"train"
1101,"train"
1102,"train"
1103,"test"
1104,"train"
1105,"test"
1106,"train"
1107,"test"
1108,"test"
1109,"train"
1110,"train"
1111,"train"
1112,"train"
1113,"train"
1114,"train"
1115,"train"
1116,"train"
1117,"train"
1118,"train"
1119,"test"
1120,"test"
1121,"train"
1122,"train"
1123,"train"
1124,"train"
1125,"train"
1126,"train"
1127,"train"
1128,"train"
1129,"train"
1130,"test"
1131,"train"
1132,"train"
1133,"train"
1134,"train"
1135,"train"
1136,"train"
1137,"train"
1138,"train"
1139,"train"
1140,"train"
1141,"train"
1142,"test"
1143,"train"
1144,"train"
1145,"train"
1146,"train"
1147,"train"
1148,"train"
1149,"train"
1150,"test"
1151,"train"
1152,"train"
1153,"train"
1154,"train"
1155,"test"
1156,"train"
1157,"train"
1158,"train"
1159,"train"
1160,"train"
1161,"test"
1162,"train"
1163,"train"
1164,"train"
1165,"train"
1166,"train"
1167,"train"
1168,"train"
1169,"test"
1170,"train"
1171,"train"
1172,"train"
1173,"train"
1174,"train"
1175,"train"
1176,"train"
1177,"train"
1178,"train"
1179,"train"
1180,"train"
1181,"train"
1182,"train"
1183,"train"
1184,"test"
1185,"train"
1186,"train"
1187,"train"
1188,"train"
1189,"test"
1190,"test"
1191,"train"
1192,"train"
1193,"train"
1194,"test"
1195,"test"
1196,"train"
1197,"train"
1198,"train"
1199,"train"
1200,"train"
1201,"train"
1202,"train"
1203,"train"
1204,"test"
1205,"train"
1206,"train"
1207,"train"
1208,"train"
1209,"test"
1210,"train"
1211,"train"
1212,"train"
1213,"train"
1214,"train"
1215,"train"
1216,"train"
1217,"train"
1218,"train"
1219,"train"
1220,"train"
1221,"train"
1222,"test"
1223,"train"
1224,"train"
1225,"train"
1226,"train"
1227,"train"
1228,"test"
1229,"train"
1230,"train"
1231,"train"
1232,"train"
1233,"train"
1234,"train"
1235,"train"
1236,"test"
1237,"train"
1238,"train"
1239,"train"
1240,"train"
1241,"train"
1242,"train"
1243,"train"
